YearMonth,Portfolio Returns,Portfolio
2017-01,0.018094373737373735,Formula
2017-02,0.03591510204081633,Formula
2017-03,-0.00420718556701031,Formula
2017-04,0.01282090909090909,Formula
2017-05,0.00765220202020202,Formula
2017-06,0.015831636363636364,Formula
2017-07,0.02069778,Formula
2017-08,-0.0014449799999999996,Formula
2017-09,0.03512178,Formula
2017-10,0.03040473,Formula
2017-11,0.03933352,Formula
2017-12,0.00288033,Formula
2018-01,0.05704094,Formula
2018-02,-0.03380341,Formula
2018-03,-0.01536432,Formula
2018-04,0.007359760000000001,Formula
2018-05,0.021869040000000003,Formula
2018-06,-0.00590607,Formula
2018-07,0.0318187,Formula
2018-08,0.041467210000000004,Formula
2018-09,-0.004373242424242424,Formula
2018-10,-0.07202994,Formula
2018-11,0.03378510204081633,Formula
2018-12,-0.08944503092783505,Formula
2019-01,0.06320503000000001,Formula
2019-02,0.048469679999999994,Formula
2019-03,0.007001739999999999,Formula
2019-04,0.02675118,Formula
2019-05,-0.03229909,Formula
2019-06,0.06598166666666667,Formula
2019-07,0.010613969999999999,Formula
2019-08,-0.0025963700000000006,Formula
2019-09,0.003899777777777778,Formula
2019-10,-0.0006377799999999996,Formula
2019-11,0.010990030000000001,Formula
2019-12,0.014304343434343435,Formula
2020-01,-0.00827361,Formula
2020-02,-0.09007619,Formula
2020-03,-0.19613659595959596,Formula
2020-04,0.10672763,Formula
2020-05,0.05664394,Formula
2020-06,-0.0021943699999999997,Formula
2020-07,0.04860973964799999,Formula
2020-08,0.03894583838383838,Formula
2020-09,-0.03288267676767677,Formula
2020-10,-0.011716565656565656,Formula
2020-11,0.10640229292929293,Formula
2020-12,0.031460383838383836,Formula
2021-01,-0.0071892200000000005,Formula
2021-02,0.030269539999999998,Formula
2021-03,0.06461549,Formula
2021-04,0.0450887,Formula
2021-05,0.02092155,Formula
2021-06,-0.01577719,Formula
2021-07,0.013950780000000001,Formula
2021-08,0.035621309999999996,Formula
2021-09,-0.04769069,Formula
2021-10,0.04995825,Formula
2021-11,-0.025729929999999998,Formula
2021-12,0.05986418367346939,Formula
2022-01,-0.048471459999999994,Formula
2022-02,-0.008350620000000001,Formula
2022-03,0.021226349999999998,Formula
2022-04,-0.057850727272727276,Formula
2022-05,0.018412173469387755,Formula
2022-06,-0.06583,Formula
2022-07,0.04761873737373737,Formula
2022-08,-0.025628727272727272,Formula
2022-09,-0.07516776767676768,Formula
2022-10,0.12075248484848486,Formula
2022-11,0.04745233333333333,Formula
2022-12,-0.036972060606060606,Formula
2023-01,0.02187805,Formula
2023-02,-0.0138796348777,Formula
2023-03,-0.014732191919191917,Formula
2023-04,0.0156798,Formula
2023-05,-0.02865469,Formula
2023-06,0.09479136,Formula
2023-07,0.024185923187670003,Formula
2023-08,-0.019448757575757574,Formula
2023-09,-0.034420040404040404,Formula
2023-10,-0.03020968,Formula
2023-11,0.07399276,Formula
2023-12,0.05611588,Formula
2017-01,0.01962230782695828,Market
2017-02,0.036147955551116794,Market
2017-03,0.0021288378416185563,Market
2017-04,0.01080662140612897,Market
2017-05,0.010723750563835403,Market
2017-06,0.00905149692578779,Market
2017-07,0.01936817076369159,Market
2017-08,0.0022563788700536167,Market
2017-09,0.026397032877720265,Market
2017-10,0.02296464219699219,Market
2017-11,0.03227144266932476,Market
2017-12,0.011161004294709344,Market
2018-01,0.055904276236379044,Market
2018-02,-0.03498279043550135,Market
2018-03,-0.02180831858960339,Market
2018-04,0.00490113361897755,Market
2018-05,0.02743178935907801,Market
2018-06,0.005722409223617776,Market
2018-07,0.03301128253898066,Market
2018-08,0.03644877685402479,Market
2018-09,0.0022658157253504308,Market
2018-10,-0.07496270391069125,Market
2018-11,0.018329504886129083,Market
2018-12,-0.09439423776789922,Market
2019-01,0.08672102870407367,Market
2019-02,0.03684134362761164,Market
2019-03,0.012707112483687241,Market
2019-04,0.04189748500363114,Market
2019-05,-0.06696063128004816,Market
2019-06,0.07199635189989233,Market
2019-07,0.012978939177706247,Market
2019-08,-0.02412098698714498,Market
2019-09,0.01599432138412235,Market
2019-10,0.0220743653529532,Market
2019-11,0.03997085528276406,Market
2019-12,0.029175962488832002,Market
2020-01,-0.0006309927595767492,Market
2020-02,-0.0802287424118241,Market
2020-03,-0.13233569685605479,Market
2020-04,0.1369919848490072,Market
2020-05,0.05610487029329588,Market
2020-06,0.02580373587061308,Market
2020-07,0.05777103611615574,Market
2020-08,0.07585419783272052,Market
2020-09,-0.03550249051282816,Market
2020-10,-0.02244533614395486,Market
2020-11,0.1251646131926861,Market
2020-12,0.04724608274898413,Market
2021-01,-0.0018922900852637457,Market
2021-02,0.026358135554269604,Market
2021-03,0.031116188728707528,Market
2021-04,0.04815233148264185,Market
2021-05,0.0027545396841354014,Market
2021-06,0.027790313890243203,Market
2021-07,0.011592886756922114,Market
2021-08,0.02805694949736481,Market
2021-09,-0.04308560323154079,Market
2021-10,0.06596254610132261,Market
2021-11,-0.014743504600601871,Market
2021-12,0.031398536235627834,Market
2022-01,-0.06300993563270366,Market
2022-02,-0.023548701157601496,Market
2022-03,0.03015317387822563,Market
2022-04,-0.09303795192634888,Market
2022-05,-0.0029717353052469355,Market
2022-06,-0.08413688173304633,Market
2022-07,0.09695870071736493,Market
2022-08,-0.0350539030709667,Market
2022-09,-0.09109935922243424,Market
2022-10,0.0820377007217569,Market
2022-11,0.04846556075873107,Market
2022-12,-0.0600079755559012,Market
2023-01,0.0696434090174956,Market
2023-02,-0.021522128621772118,Market
2023-03,0.027235075569072297,Market
2023-04,0.0086147514083355,Market
2023-05,0.005339161035487573,Market
2023-06,0.07029320315505751,Market
2023-07,0.03558757554030316,Market
2023-08,-0.020500012352181886,Market
2023-09,-0.04844408997617293,Market
2023-10,-0.026668355297214258,Market
2023-11,0.09349071537871484,Market
2023-12,0.05336486610715968,Market
2017-01,0.04145526,Speculative
2017-02,0.04664990909090909,Speculative
2017-03,-0.013257575757575758,Speculative
2017-04,-0.0019638299999999997,Speculative
2017-05,-0.00795885,Speculative
2017-06,0.026327,Speculative
2017-07,0.017476438775510205,Speculative
2017-08,-0.033407816326530615,Speculative
2017-09,0.05597676530612245,Speculative
2017-10,-0.01045531,Speculative
2017-11,0.02780792929292929,Speculative
2017-12,0.025319878787878787,Speculative
2018-01,0.01912867,Speculative
2018-02,-0.06040437,Speculative
2018-03,0.00951266,Speculative
2018-04,0.01041963,Speculative
2018-05,0.0375079,Speculative
2018-06,0.01743105,Speculative
2018-07,0.01800109,Speculative
2018-08,0.038802470000000006,Speculative
2018-09,-0.01598168,Speculative
2018-10,-0.10537325252525254,Speculative
2018-11,0.004791071428571429,Speculative
2018-12,-0.146749,Speculative
2019-01,0.17470703030303028,Speculative
2019-02,0.05362309183673469,Speculative
2019-03,-0.015439275510204083,Speculative
2019-04,0.033755600000000004,Speculative
2019-05,-0.1252839,Speculative
2019-06,0.09652913,Speculative
2019-07,-0.003914209999999999,Speculative
2019-08,-0.10385011000000001,Speculative
2019-09,0.028868710000000002,Speculative
2019-10,0.02718413,Speculative
2019-11,0.06563808,Speculative
2019-12,0.05697381,Speculative
2020-01,-0.029299505050505048,Speculative
2020-02,-0.07225723232323232,Speculative
2020-03,-0.22541600188743433,Speculative
2020-04,0.25385696,Speculative
2020-05,0.08139058,Speculative
2020-06,0.03454416,Speculative
2020-07,0.01719215,Speculative
2020-08,0.06714305000000001,Speculative
2020-09,-0.04429523,Speculative
2020-10,0.03654687878787879,Speculative
2020-11,0.23635464646464646,Speculative
2020-12,0.08886607070707071,Speculative
2021-01,0.0008479489795918375,Speculative
2021-02,0.1101110612244898,Speculative
2021-03,0.004002938144329895,Speculative
2021-04,0.021166530612244897,Speculative
2021-05,-0.01721262244897959,Speculative
2021-06,0.046450041666666664,Speculative
2021-07,-0.0169907,Speculative
