,Sharpe Ratio
Formula,0.7627295099096315
SMALL LoBM LoINV,0.32658089274940955
ME1 BM1 INV2,0.48252150417778383
ME1 BM1 INV3,0.509034246131203
SMALL LoBM HiINV,0.18328172645088048
ME1 BM2 INV1,0.5317068045234056
ME1 BM2 INV2,0.6403057985755625
ME1 BM2 INV3,0.5872098035670362
ME1 BM2 INV4,0.4322393414219324
ME1 BM3 INV1,0.6251741531702507
ME1 BM3 INV2,0.6330745739137303
ME1 BM3 INV3,0.7294227643884602
ME1 BM3 INV4,0.5007839045166957
SMALL HiBM LoINV,0.5876851919492609
ME1 BM4 INV2,0.6695595640698206
ME1 BM4 INV3,0.5076059073846684
SMALL HiBM HiINV,0.46204495646266
BIG LoBM LoINV,0.40463370543407906
ME2 BM1 INV2,0.3903964215728108
ME2 BM1 INV3,0.3863094926514284
BIG LoBM HiINV,0.2931390167011218
ME2 BM2 INV1,0.4808411337035129
ME2 BM2 INV2,0.41718530533035336
ME2 BM2 INV3,0.40104392575950837
ME2 BM2 INV4,0.3308276704050118
ME2 BM3 INV1,0.5311200406138953
ME2 BM3 INV2,0.47430263007036244
ME2 BM3 INV3,0.4559199782961524
ME2 BM3 INV4,0.28694200165604256
BIG HiBM LoINV,0.5252144856101524
ME2 BM4 INV2,0.40868220923033627
ME2 BM4 INV3,0.5138283600657985
BIG HiBM HiINV,0.3576854010789062
