,Sharpe Ratio
Formula,0.7627295099096315
SMALL LoBM LoOP,0.0059724874991627635
ME1 BM1 OP2,0.31116297949439803
ME1 BM1 OP3,0.3730992661297099
SMALL LoBM HiOP,0.46918979511042447
ME1 BM2 OP1,0.33039736019670274
ME1 BM2 OP2,0.5185397675191051
ME1 BM2 OP3,0.5936816961127969
ME1 BM2 OP4,0.6485023512585112
ME1 BM3 OP1,0.4534820541873385
ME1 BM3 OP2,0.6004409658870784
ME1 BM3 OP3,0.7332322497273872
ME1 BM3 OP4,0.6904029538862758
SMALL HiBM LoOP,0.4715307791120106
ME1 BM4 OP2,0.6417889924809882
ME1 BM4 OP3,0.6704994308468234
SMALL HiBM HiOP,0.6496819461003835
BIG LoBM LoOP,0.0885992241965382
ME2 BM1 OP2,0.2179662207819915
ME2 BM1 OP3,0.3482256979376549
BIG LoBM HiOP,0.39303827145628206
ME2 BM2 OP1,0.22623066523821117
ME2 BM2 OP2,0.37701564678106275
ME2 BM2 OP3,0.44489215984827013
ME2 BM2 OP4,0.4257756834600132
ME2 BM3 OP1,0.30894475977811764
ME2 BM3 OP2,0.43587660484563656
ME2 BM3 OP3,0.5496238162165059
ME2 BM3 OP4,0.528302425062259
BIG HiBM LoOP,0.39703510853538954
ME2 BM4 OP2,0.5276056625662551
ME2 BM4 OP3,0.537532523673993
BIG HiBM HiOP,0.21117455901037618
