Panel,Variant,Model,Factor,Coefficient,t-value,Nobs,R2
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF,Alpha,0.11423388998071557,5.675881272741008,1053.0,0.4136874094118912
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF,Mkt-RF,-0.8399432717791121,-27.23158371584932,1053.0,0.4136874094118912
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB,Alpha,0.1268573697405227,7.624902299387317,1053.0,0.6001983418461305
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB,Mkt-RF,-0.643378717758086,-23.841352965511547,1053.0,0.6001983418461305
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB,SMB,-1.0065963475582345,-22.13219564641606,1053.0,0.6001983418461305
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML,Alpha,0.14234978682724847,8.980683784452118,1053.0,0.6404070076473787
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML,Mkt-RF,-0.5796000219871283,-22.060219587006426,1053.0,0.6404070076473787
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML,SMB,-0.9824792517390051,-22.7365667575372,1053.0,0.6404070076473787
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML,HML,-0.41304439516889263,-10.830336877217423,1053.0,0.6404070076473787
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML + MOM,Alpha,0.06949093238859025,5.412609989546181,1053.0,0.776239195636006
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML + MOM,Mkt-RF,-0.4390437150659921,-20.448075187782656,1053.0,0.776239195636006
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML + MOM,SMB,-0.9618749797155377,-28.196945583017744,1053.0,0.776239195636006
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML + MOM,HML,-0.10869348005509957,-3.351901888619013,1053.0,0.776239195636006
Panel A: Fama-French [1993] / Carhart [1997],cms,Mkt-RF + SMB + HML + MOM,MOM,0.6245738509247535,25.222607531596267,1053.0,0.776239195636006
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF,Alpha,0.09323772606018606,13.64771271926231,1053.0,0.8612361358387491
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF,Mkt-RF,0.8456126687036309,80.76520268431639,1053.0,0.8612361358387491
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB,Alpha,0.09244993552429855,13.591274976289087,1053.0,0.8627281554287001
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB,Mkt-RF,0.8333457107573964,75.53085775918619,1053.0,0.8627281554287001
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB,SMB,0.06281842179445185,3.378245270882577,1053.0,0.8627281554287001
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML,Alpha,0.08492269787293492,13.417093945167698,1053.0,0.8822247808220469
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML,Mkt-RF,0.8023578153583396,76.47713664666907,1053.0,0.8822247808220469
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML,SMB,0.05110074658109879,2.961493872109817,1053.0,0.8822247808220469
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML,HML,0.20068419960523384,13.177727031640561,1053.0,0.8822247808220469
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML + MOM,Alpha,0.0673771011098698,11.162203793786333,1053.0,0.8984048806734449
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML + MOM,Mkt-RF,0.8362060593740374,82.8355974470962,1053.0,0.8984048806734449
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML + MOM,SMB,0.05606259028980831,3.4955508793604086,1053.0,0.8984048806734449
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML + MOM,HML,0.27397684841502795,17.970522304294914,1053.0,0.8984048806734449
Panel A: Fama-French [1993] / Carhart [1997],longonly,Mkt-RF + SMB + HML + MOM,MOM,0.15040753826711106,12.919176086881347,1053.0,0.8984048806734449
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF,Alpha,0.13956844197129556,8.725837308829771,1017.0,0.009736464648643084
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF,Mkt-RF,-0.08082881930279866,-3.15906289971597,1017.0,0.009736464648643084
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB,Alpha,0.14578399845214743,9.857446374941373,1017.0,0.15508437119416307
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB,Mkt-RF,0.03636634344266327,1.4399150098199542,1017.0,0.15508437119416307
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB,SMB,-0.5384541474917074,-13.207380692456539,1017.0,0.15508437119416307
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML,Alpha,0.1474895435841593,9.931247973093566,1017.0,0.15633292362927897
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML,Mkt-RF,0.04279329920203769,1.6593291831016408,1017.0,0.15633292362927897
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML,SMB,-0.5354263458654837,-13.11223527854969,1017.0,0.15633292362927897
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML,HML,-0.04396268615373131,-1.2243978688827943,1017.0,0.15633292362927897
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML + MOM,Alpha,0.09518289614441212,7.209733180053804,1017.0,0.3653249459496202
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML + MOM,Mkt-RF,0.14138854233005244,6.141483493075541,1017.0,0.3653249459496202
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML + MOM,SMB,-0.5220734502165214,-14.73029559854293,1017.0,0.3653249459496202
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML + MOM,HML,0.17116007368017988,5.138116798784125,1017.0,0.3653249459496202
Panel A: Fama-French [1993] / Carhart [1997],betaneutral,Mkt-RF + SMB + HML + MOM,MOM,0.467363447199011,18.254897390220716,1017.0,0.3653249459496202
Panel B: Fama-French [2015],cms,Mkt-RF,Alpha,0.14438166127164428,7.2156664165010955,642.0,0.3696044929195035
Panel B: Fama-French [2015],cms,Mkt-RF,Mkt-RF,-0.7263516294878157,-19.37100054398434,642.0,0.3696044929195035
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML,Alpha,0.13447976974994824,7.485937293748285,642.0,0.5089558942455119
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML,Mkt-RF,-0.556231103388055,-15.637816543177511,642.0,0.5089558942455119
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML,SMB,-0.5762074231211022,-11.455709000263232,642.0,0.5089558942455119
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML,HML,0.38563587640913033,7.067937982105829,642.0,0.5089558942455119
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA,Alpha,0.09126284289312647,5.388180191092407,642.0,0.5881472078491061
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA,Mkt-RF,-0.43934868463540955,-12.677512683573086,642.0,0.5881472078491061
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA,SMB,-0.4285982510741051,-8.82679039039777,642.0,0.5881472078491061
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA,HML,0.03671403574927706,0.5390001527244955,642.0,0.5881472078491061
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA,RMW,0.6394169399320974,9.58858844801781,642.0,0.5881472078491061
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA,CMA,0.7508586214119911,7.405693817787357,642.0,0.5881472078491061
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA + MOM,Alpha,0.03436432520607827,3.0239244048852725,642.0,0.8205340918567696
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA + MOM,Mkt-RF,-0.34744566336449756,-15.029195915436073,642.0,0.8205340918567696
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA + MOM,SMB,-0.4666098246159857,-14.533630843173793,642.0,0.8205340918567696
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA + MOM,HML,0.35654753021578217,7.69068951972642,642.0,0.8205340918567696
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA + MOM,RMW,0.5001281550783363,11.284078886291656,642.0,0.8205340918567696
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA + MOM,CMA,0.5489622664986445,8.150836502418963,642.0,0.8205340918567696
Panel B: Fama-French [2015],cms,Mkt-RF + SMB + HML + RMW + CMA + MOM,MOM,0.6316708538853074,28.674885242755472,642.0,0.8205340918567696
Panel B: Fama-French [2015],longonly,Mkt-RF,Alpha,0.10427181160793778,11.198094584078834,642.0,0.7633192005100063
Panel B: Fama-French [2015],longonly,Mkt-RF,Mkt-RF,0.7927634678937757,45.431969754957805,642.0,0.7633192005100063
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML,Alpha,0.08329611901861707,10.273192100626453,642.0,0.8265744055824318
