Regime,AlphaMonthly,AlphaAnnualized,Beta,Nobs
All,0.004972788924426474,0.05967346709311769,0.8487590227217092,1053
Expansion,0.004992523839098746,0.05991028606918495,0.8488534650465024,867
Recession,0.004874674202531727,0.05849609043038073,0.8484231239738169,186
Low 10Y,0.004407518057834218,0.05289021669401062,0.8694695045050994,617
High 10Y,0.005698248585532112,0.06837898302638534,0.8004339163549306,436
Falling 10Y,0.0064392498648899125,0.07727099837867896,0.8518834865695368,661
Rising 10Y,0.0024929170627262117,0.02991500475271454,0.8293123466807706,392
Low Spread,0.004749534053673734,0.05699440864408481,0.8015092077174035,561
High Spread,0.005468336963535832,0.06562004356242998,0.8657899668015825,492
Falling Spread,0.005388373626942161,0.06466048352330593,0.8430193706089805,592
Rising Spread,0.004519027833412549,0.05422833400095059,0.8518471918382723,461
