Current Quarter,Next Quarter,Overlap Count,Turnover Count,Turnover Fraction
1929-03-28,1929-06-29,74.0,26.0,0.26
1929-06-29,1929-09-30,75.0,25.0,0.25
1929-09-30,1929-12-31,67.0,33.0,0.33
1929-12-31,1930-03-31,75.0,25.0,0.25
1930-03-31,1930-06-30,67.0,33.0,0.33
1930-06-30,1930-09-30,77.0,23.0,0.23
1930-09-30,1930-12-31,70.0,30.0,0.3
1930-12-31,1931-03-31,78.0,22.0,0.22
1931-03-31,1931-06-30,77.0,23.0,0.23
1931-06-30,1931-09-30,78.0,22.0,0.22
1931-09-30,1931-12-31,73.0,27.0,0.27
1931-12-31,1932-03-31,76.0,24.0,0.24
1932-03-31,1932-06-30,78.0,22.0,0.22
1932-06-30,1932-09-30,62.0,38.0,0.38
1932-09-30,1932-12-31,68.0,32.0,0.32
1932-12-31,1933-03-31,75.0,25.0,0.25
1933-03-31,1933-06-30,61.0,39.0,0.39
1933-06-30,1933-09-30,72.0,28.0,0.28
1933-09-30,1933-12-30,69.0,31.0,0.31
1933-12-30,1934-03-31,70.0,30.0,0.3
1934-03-31,1934-06-30,59.0,41.0,0.41
1934-06-30,1934-09-29,69.0,31.0,0.31
1934-09-29,1934-12-31,69.0,31.0,0.31
1934-12-31,1935-03-30,72.0,28.0,0.28
1935-03-30,1935-06-29,74.0,26.0,0.26
1935-06-29,1935-09-30,74.0,26.0,0.26
1935-09-30,1935-12-31,62.0,38.0,0.38
1935-12-31,1936-03-31,70.0,30.0,0.3
1936-03-31,1936-06-30,61.0,39.0,0.39
1936-06-30,1936-09-30,70.0,30.0,0.3
1936-09-30,1936-12-31,59.0,41.0,0.41
1936-12-31,1937-03-31,66.0,34.0,0.34
1937-03-31,1937-06-30,73.0,27.0,0.27
1937-06-30,1937-09-30,73.0,27.0,0.27
1937-09-30,1937-12-31,60.0,40.0,0.4
1937-12-31,1938-03-31,77.0,23.0,0.23
1938-03-31,1938-06-30,71.0,29.0,0.29
1938-06-30,1938-09-30,71.0,29.0,0.29
1938-09-30,1938-12-31,66.0,34.0,0.34
1938-12-31,1939-03-31,70.0,30.0,0.3
1939-03-31,1939-06-30,65.0,35.0,0.35
1939-06-30,1939-09-30,73.0,27.0,0.27
1939-09-30,1939-12-30,63.0,37.0,0.37
1939-12-30,1940-03-30,72.0,28.0,0.28
1940-03-30,1940-06-29,70.0,30.0,0.3
1940-06-29,1940-09-30,65.0,35.0,0.35
1940-09-30,1940-12-31,60.0,40.0,0.4
1940-12-31,1941-03-31,78.0,22.0,0.22
1941-03-31,1941-06-30,63.0,37.0,0.37
1941-06-30,1941-09-30,72.0,28.0,0.28
1941-09-30,1941-12-31,66.0,34.0,0.34
1941-12-31,1942-03-31,71.0,29.0,0.29
1942-03-31,1942-06-30,66.0,34.0,0.34
1942-06-30,1942-09-30,66.0,34.0,0.34
1942-09-30,1942-12-31,66.0,34.0,0.34
1942-12-31,1943-03-31,65.0,35.0,0.35
1943-03-31,1943-06-30,61.0,39.0,0.39
1943-06-30,1943-09-30,71.0,29.0,0.29
1943-09-30,1943-12-31,72.0,28.0,0.28
1943-12-31,1944-03-31,69.0,31.0,0.31
1944-03-31,1944-06-30,55.0,45.0,0.45
1944-06-30,1944-09-30,73.0,27.0,0.27
1944-09-30,1944-12-30,58.0,42.0,0.42
1944-12-30,1945-03-31,68.0,32.0,0.32
1945-03-31,1945-06-30,67.0,33.0,0.33
1945-06-30,1945-09-29,62.0,38.0,0.38
1945-09-29,1945-12-31,61.0,39.0,0.39
1945-12-31,1946-03-30,66.0,34.0,0.34
1946-03-30,1946-06-28,66.0,34.0,0.34
1946-06-28,1946-09-30,62.0,38.0,0.38
1946-09-30,1946-12-31,61.0,39.0,0.39
1946-12-31,1947-03-31,68.0,32.0,0.32
1947-03-31,1947-06-30,57.0,43.0,0.43
1947-06-30,1947-09-30,65.0,35.0,0.35
1947-09-30,1947-12-31,70.0,30.0,0.3
1947-12-31,1948-03-31,70.0,30.0,0.3
1948-03-31,1948-06-30,65.0,35.0,0.35
1948-06-30,1948-09-30,72.0,28.0,0.28
1948-09-30,1948-12-31,56.0,44.0,0.44
1948-12-31,1949-03-31,67.0,33.0,0.33
1949-03-31,1949-06-30,60.0,40.0,0.4
1949-06-30,1949-09-30,68.0,32.0,0.32
1949-09-30,1949-12-31,67.0,33.0,0.33
1949-12-31,1950-03-31,57.0,43.0,0.43
1950-03-31,1950-06-30,63.0,37.0,0.37
1950-06-30,1950-09-29,67.0,33.0,0.33
1950-09-29,1950-12-30,67.0,33.0,0.33
1950-12-30,1951-03-31,72.0,28.0,0.28
1951-03-31,1951-06-29,71.0,29.0,0.29
1951-06-29,1951-09-28,71.0,29.0,0.29
1951-09-28,1951-12-31,52.0,48.0,0.48
1951-12-31,1952-03-31,67.0,33.0,0.33
1952-03-31,1952-06-30,61.0,39.0,0.39
1952-06-30,1952-09-30,60.0,40.0,0.4
1952-09-30,1952-12-31,62.0,38.0,0.38
1952-12-31,1953-03-31,62.0,38.0,0.38
1953-03-31,1953-06-30,68.0,32.0,0.32
1953-06-30,1953-09-30,64.0,36.0,0.36
1953-09-30,1953-12-31,61.0,39.0,0.39
1953-12-31,1954-03-31,71.0,29.0,0.29
1954-03-31,1954-06-30,66.0,34.0,0.34
1954-06-30,1954-09-30,69.0,31.0,0.31
1954-09-30,1954-12-31,60.0,40.0,0.4
1954-12-31,1955-03-31,62.0,38.0,0.38
1955-03-31,1955-06-30,62.0,38.0,0.38
1955-06-30,1955-09-30,72.0,28.0,0.28
1955-09-30,1955-12-30,53.0,47.0,0.47
1955-12-30,1956-03-29,60.0,40.0,0.4
1956-03-29,1956-06-29,64.0,36.0,0.36
1956-06-29,1956-09-28,63.0,37.0,0.37
1956-09-28,1956-12-31,53.0,47.0,0.47
1956-12-31,1957-03-29,63.0,37.0,0.37
1957-03-29,1957-06-28,63.0,37.0,0.37
1957-06-28,1957-09-30,66.0,34.0,0.34
1957-09-30,1957-12-31,52.0,48.0,0.48
1957-12-31,1958-03-31,66.0,34.0,0.34
1958-03-31,1958-06-30,67.0,33.0,0.33
1958-06-30,1958-09-30,71.0,29.0,0.29
1958-09-30,1958-12-31,48.0,52.0,0.52
1958-12-31,1959-03-31,69.0,31.0,0.31
